"","phys_id","shift_date","shift_start","shift_end","hour","census","census_lowerbound","census_upperbound"
"1",1,1982-05-15,13:00:00,22:00:00,1,0,0,0
"2",1,1982-05-15,13:00:00,22:00:00,2,0,0,0
"3",1,1982-05-15,13:00:00,22:00:00,3,0,0,0
"4",1,1982-05-15,13:00:00,22:00:00,4,0,0,0
"5",1,1982-05-15,13:00:00,22:00:00,5,0,0,0
"6",1,1982-05-15,13:00:00,22:00:00,6,0,0,0
"7",1,1982-05-15,13:00:00,22:00:00,7,0,0,1
"8",1,1982-05-15,13:00:00,22:00:00,8,1,1,1
"9",1,1982-05-15,13:00:00,22:00:00,9,1,1,1
"10",1,1982-05-15,13:00:00,22:00:00,10,1,0,1
"11",1,1982-05-15,13:00:00,22:00:00,11,0,0,0
"12",1,1982-05-15,13:00:00,22:00:00,12,0,0,0
"13",1,1982-05-15,13:00:00,22:00:00,13,0,0,0
"14",1,1982-05-17,13:00:00,22:00:00,1,6,6,8
"15",1,1982-05-17,13:00:00,22:00:00,2,8,5,11
"16",1,1982-05-17,13:00:00,22:00:00,3,8,5,11
"17",1,1982-05-17,13:00:00,22:00:00,4,8,7,10
"18",1,1982-05-17,13:00:00,22:00:00,5,9,9,10
"19",1,1982-05-17,13:00:00,22:00:00,6,10,10,10
"20",1,1982-05-17,13:00:00,22:00:00,7,10,8,10
"21",1,1982-05-17,13:00:00,22:00:00,8,8,6,8
"22",1,1982-05-17,13:00:00,22:00:00,9,6,4,6
"23",1,1982-05-17,13:00:00,22:00:00,10,4,4,4
"24",1,1982-05-17,13:00:00,22:00:00,11,4,3,4
"25",1,1982-05-17,13:00:00,22:00:00,12,2,2,2
"26",1,1982-05-17,13:00:00,22:00:00,13,2,2,2
"27",1,1982-05-20,11:00:00,20:00:00,1,3,3,6
"28",1,1982-05-20,11:00:00,20:00:00,2,6,5,7
"29",1,1982-05-20,11:00:00,20:00:00,3,6,6,7
"30",1,1982-05-20,11:00:00,20:00:00,4,7,6,9
"31",1,1982-05-20,11:00:00,20:00:00,5,8,7,11
"32",1,1982-05-20,11:00:00,20:00:00,6,10,5,12
"33",1,1982-05-20,11:00:00,20:00:00,7,7,6,7
"34",1,1982-05-20,11:00:00,20:00:00,8,6,3,6
"35",1,1982-05-20,11:00:00,20:00:00,9,3,2,3
"36",1,1982-05-20,11:00:00,20:00:00,10,2,2,2
"37",1,1982-05-20,11:00:00,20:00:00,11,2,2,2
"38",1,1982-05-20,11:00:00,20:00:00,12,2,2,2
"39",1,1982-05-20,11:00:00,20:00:00,13,2,2,2
"40",1,1982-05-21,06:00:00,16:00:00,1,9,9,11
"41",1,1982-05-21,06:00:00,16:00:00,2,11,10,15
"42",1,1982-05-21,06:00:00,16:00:00,3,14,11,18
"43",1,1982-05-21,06:00:00,16:00:00,4,15,8,17
"44",1,1982-05-21,06:00:00,16:00:00,5,10,8,12
"45",1,1982-05-21,06:00:00,16:00:00,6,10,7,10
"46",1,1982-05-21,06:00:00,16:00:00,7,7,6,7
"47",1,1982-05-21,06:00:00,16:00:00,8,6,3,6
"48",1,1982-05-21,06:00:00,16:00:00,9,3,2,3
"49",1,1982-05-21,06:00:00,16:00:00,10,2,1,2
"50",1,1982-05-21,06:00:00,16:00:00,11,1,1,1
"51",1,1982-05-21,06:00:00,16:00:00,12,1,1,1
"52",1,1982-05-21,06:00:00,16:00:00,13,1,1,1
"53",1,1982-05-21,06:00:00,16:00:00,14,1,1,1
"54",1,1982-05-26,13:00:00,22:00:00,1,4,4,5
